Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.20    0.00    0.77    0.02    0.00    0.21    0.00    0.00    0.00   96.81
Average:       0    1.57    0.00    0.66    0.00    0.00    0.99    0.00    0.00    0.00   96.77
Average:       1    0.71    0.00    0.79    0.00    0.00    0.42    0.00    0.00    0.00   98.09
Average:       2    2.37    0.00    0.79    0.00    0.00    0.37    0.00    0.00    0.00   96.47
Average:       3    1.87    0.00    0.62    0.00    0.00    0.29    0.00    0.00    0.00   97.21
Average:       4    2.62    0.00    0.67    0.00    0.00    0.71    0.00    0.00    0.00   96.01
Average:       5    2.42    0.00    0.63    0.00    0.00    0.25    0.00    0.00    0.00   96.70
Average:       6    1.71    0.00    0.50    0.00    0.00    0.17    0.00    0.00    0.00   97.62
Average:       7    4.28    0.00    1.04    0.00    0.00    0.17    0.00    0.00    0.00   94.51
Average:       8    3.30    0.00    0.84    0.00    0.00    0.04    0.00    0.00    0.00   95.82
Average:       9    2.21    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   97.04
Average:      10    2.54    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   96.58
Average:      11    2.46    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   96.74
Average:      12    2.25    0.00    1.08    0.00    0.00    0.17    0.00    0.00    0.00   96.50
Average:      13    2.46    0.00    1.13    0.38    0.00    0.17    0.00    0.00    0.00   95.87
Average:      14    3.17    0.00    0.83    0.04    0.00    0.08    0.00    0.00    0.00   95.87
Average:      15    3.25    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   95.95
Average:      16    1.62    0.00    0.83    0.00    0.00    0.08    0.00    0.00    0.00   97.46
Average:      17    1.34    0.00    0.79    0.00    0.00    0.13    0.00    0.00    0.00   97.74
Average:      18    4.18    0.00    0.54    0.00    0.00    0.08    0.00    0.00    0.00   95.20
Average:      19    1.84    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   97.41
Average:      20    1.04    0.00    0.79    0.00    0.00    0.04    0.00    0.00    0.00   98.12
Average:      21    1.88    0.00    0.92    0.00    0.00    0.13    0.00    0.00    0.00   97.08
Average:      22    1.00    0.00    0.67    0.00    0.00    0.17    0.00    0.00    0.00   98.16
Average:      23    0.75    0.00    0.67    0.00    0.00    0.17    0.00    0.00    0.00   98.41
