Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.62    0.00    0.56    0.04    0.00    0.13    0.00    0.00    0.00   97.65
Average:       0    1.40    0.00    0.64    0.00    0.00    0.85    0.00    0.00    0.00   97.11
Average:       1    1.44    0.00    0.38    0.00    0.00    0.41    0.00    0.00    0.00   97.77
Average:       2    1.82    0.00    0.50    0.00    0.00    0.24    0.00    0.00    0.00   97.44
Average:       3    0.80    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   98.47
Average:       4    1.65    0.00    0.50    0.00    0.00    0.12    0.00    0.00    0.00   97.73
Average:       5    1.83    0.00    0.62    0.00    0.00    0.03    0.00    0.00    0.00   97.52
Average:       6    1.94    0.00    0.56    0.00    0.00    0.12    0.00    0.00    0.00   97.38
Average:       7    1.53    0.00    0.56    0.00    0.00    0.12    0.00    0.00    0.00   97.79
Average:       8    1.47    0.00    0.91    0.00    0.00    0.03    0.00    0.00    0.00   97.58
Average:       9    1.74    0.00    0.32    0.00    0.00    0.12    0.00    0.00    0.00   97.82
Average:      10    1.94    0.00    0.44    0.00    0.00    0.12    0.00    0.00    0.00   97.50
Average:      11    1.06    0.00    0.65    0.00    0.00    0.06    0.00    0.00    0.00   98.23
Average:      12    2.33    0.00    0.32    0.00    0.00    0.09    0.00    0.00    0.00   97.26
Average:      13    2.36    0.00    0.65    0.44    0.00    0.09    0.00    0.00    0.00   96.47
Average:      14    2.15    0.00    0.82    0.47    0.00    0.09    0.00    0.00    0.00   96.47
Average:      15    1.97    0.00    0.53    0.00    0.00    0.06    0.00    0.00    0.00   97.44
Average:      16    1.56    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   97.97
Average:      17    2.53    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   96.93
Average:      18    1.00    0.00    0.65    0.00    0.00    0.03    0.00    0.00    0.00   98.32
Average:      19    1.65    0.00    0.50    0.00    0.00    0.12    0.00    0.00    0.00   97.73
Average:      20    1.03    0.00    0.59    0.00    0.00    0.03    0.00    0.00    0.00   98.35
Average:      21    1.83    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   97.64
Average:      22    0.77    0.00    0.59    0.00    0.00    0.12    0.00    0.00    0.00   98.53
Average:      23    0.97    0.00    0.68    0.00    0.00    0.09    0.00    0.00    0.00   98.27
