Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   13.29    0.00    4.04    0.23    0.00    0.60    0.00    0.00    0.00   81.84
Average:       0   13.48    0.00    3.83    0.00    0.00    1.00    0.00    0.00    0.00   81.69
Average:       1   12.59    0.00    4.24    0.50    0.00    0.65    0.00    0.00    0.00   82.02
Average:       2   12.65    0.00    4.35    0.03    0.00    0.56    0.00    0.00    0.00   82.41
Average:       3   13.75    0.00    3.71    0.00    0.00    0.53    0.00    0.00    0.00   82.01
Average:       4   12.89    0.00    3.88    0.00    0.00    0.89    0.00    0.00    0.00   82.35
Average:       5   13.51    0.00    3.81    0.00    0.00    0.41    0.00    0.00    0.00   82.26
Average:       6   13.15    0.00    4.23    0.12    0.00    0.80    0.00    0.00    0.00   81.71
Average:       7   13.93    0.00    4.11    0.00    0.00    0.38    0.00    0.00    0.00   81.57
Average:       8   12.98    0.00    4.09    0.00    0.00    0.41    0.00    0.00    0.00   82.52
Average:       9   12.98    0.00    4.08    0.03    0.00    0.89    0.00    0.00    0.00   82.02
Average:      10   13.62    0.00    4.25    0.00    0.00    0.41    0.00    0.00    0.00   81.71
Average:      11   13.02    0.00    4.38    0.00    0.00    0.53    0.00    0.00    0.00   82.07
Average:      12   12.42    0.00    4.13    0.00    0.00    0.77    0.00    0.00    0.00   82.68
Average:      13   13.47    0.00    3.91    4.50    0.00    0.47    0.00    0.00    0.00   77.66
Average:      14   13.23    0.00    4.09    0.12    0.00    0.59    0.00    0.00    0.00   81.97
Average:      15   13.96    0.00    3.82    0.00    0.00    0.36    0.00    0.00    0.00   81.86
Average:      16   13.73    0.00    4.18    0.03    0.00    0.42    0.00    0.00    0.00   81.64
Average:      17   12.90    0.00    4.27    0.00    0.00    0.83    0.00    0.00    0.00   82.00
Average:      18   13.68    0.00    3.97    0.03    0.00    0.53    0.00    0.00    0.00   81.78
Average:      19   13.03    0.00    4.11    0.00    0.00    0.77    0.00    0.00    0.00   82.09
Average:      20   13.58    0.00    3.91    0.12    0.00    0.42    0.00    0.00    0.00   81.97
Average:      21   13.43    0.00    3.99    0.03    0.00    0.41    0.00    0.00    0.00   82.14
Average:      22   13.14    0.00    3.77    0.00    0.00    0.65    0.00    0.00    0.00   82.44
Average:      23   13.71    0.00    3.77    0.00    0.00    0.71    0.00    0.00    0.00   81.82
