Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1690139424,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1690139425,6,GET,perf_check,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,58,60.187786833315236,54.76496199844405,74.82560199787258,119.0
1690139425,6,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,58,60.187786833315236,54.76496199844405,74.82560199787258,119.0
1690139426,12,GET,perf_check,0.000000,0.000000,47,51,52,52,53,60,60,60,60,60,60,18,0,51,46.24846466665784,24.593272999481997,74.82560199787258,118.94444444444444
1690139426,12,,Aggregated,0.000000,0.000000,47,51,52,52,53,60,60,60,60,60,60,18,0,51,46.24846466665784,24.593272999481997,74.82560199787258,118.94444444444444
1690139427,18,GET,perf_check,6.000000,0.000000,32,51,53,60,61,62,79,79,79,79,79,36,0,39,43.37932494450393,23.87179300058051,78.85253299900796,118.88888888888889
1690139427,18,,Aggregated,6.000000,0.000000,32,51,53,60,61,62,79,79,79,79,79,36,0,39,43.37932494450393,23.87179300058051,78.85253299900796,118.88888888888889
1690139428,24,GET,perf_check,6.500000,0.000000,32,40,52,54,60,62,72,79,79,79,79,60,0,33,41.158353950049786,23.87179300058051,78.85253299900796,118.88333333333334
1690139428,24,,Aggregated,6.500000,0.000000,32,40,52,54,60,62,72,79,79,79,79,60,0,33,41.158353950049786,23.87179300058051,78.85253299900796,118.88333333333334
1690139429,30,GET,perf_check,7.666667,0.000000,39,47,53,55,62,79,110,110,110,110,110,90,0,39,44.170102666733634,23.87179300058051,107.08945599981234,118.83333333333333
1690139429,30,,Aggregated,7.666667,0.000000,39,47,53,55,62,79,110,110,110,110,110,90,0,39,44.170102666733634,23.87179300058051,107.08945599981234,118.83333333333333
1690139430,30,GET,perf_check,10.500000,0.000000,37,40,47,52,61,78,82,110,110,110,110,120,0,37,41.92100968327092,23.87179300058051,107.08945599981234,118.85833333333333
1690139430,30,,Aggregated,10.500000,0.000000,37,40,47,52,61,78,82,110,110,110,110,120,0,37,41.92100968327092,23.87179300058051,107.08945599981234,118.85833333333333
1690139431,30,GET,perf_check,12.000000,0.000000,35,39,41,47,57,72,82,110,110,110,110,150,0,35,40.40043501991022,23.87179300058051,107.08945599981234,118.84
1690139431,30,,Aggregated,12.000000,0.000000,35,39,41,47,57,72,82,110,110,110,110,150,0,35,40.40043501991022,23.87179300058051,107.08945599981234,118.84
1690139432,30,GET,perf_check,15.000000,0.000000,37,40,42,43,54,62,80,110,110,110,110,180,0,37,40.38745627207795,23.87179300058051,107.08945599981234,118.83333333333333
1690139432,30,,Aggregated,15.000000,0.000000,37,40,42,43,54,62,80,110,110,110,110,180,0,37,40.38745627207795,23.87179300058051,107.08945599981234,118.83333333333333
1690139433,30,GET,perf_check,17.142857,0.000000,38,42,53,61,200,200,200,210,220,220,220,210,0,39,62.794034914172485,23.87179300058051,216.93404300094699,118.8
1690139433,30,,Aggregated,17.142857,0.000000,38,42,53,61,200,200,200,210,220,220,220,210,0,39,62.794034914172485,23.87179300058051,216.93404300094699,118.8
1690139434,30,GET,perf_check,18.750000,0.000000,40,53,96,100,190,200,200,210,220,220,220,240,0,40,68.01649874573741,23.87179300058051,216.93404300094699,118.82083333333334
1690139434,30,,Aggregated,18.750000,0.000000,40,53,96,100,190,200,200,210,220,220,220,240,0,40,68.01649874573741,23.87179300058051,216.93404300094699,118.82083333333334
