Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.38    0.00    0.95    0.70    0.00    0.20    0.00    0.00    0.00   95.77
Average:       0    3.47    0.00    1.13    0.07    0.00    1.13    0.00    0.00    0.00   94.20
Average:       1    1.71    0.00    0.50    0.00    0.00    0.71    0.00    0.00    0.00   97.08
Average:       2    0.86    0.00    0.57    0.00    0.00    0.21    0.00    0.00    0.00   98.35
Average:       3    3.92    0.00    0.93    0.00    0.00    0.29    0.00    0.00    0.00   94.87
Average:       4    1.79    0.00    1.00    0.00    0.00    0.14    0.00    0.00    0.00   97.07
Average:       5    1.72    0.00    0.93    0.36    0.00    0.14    0.00    0.00    0.00   96.85
Average:       6    2.00    0.00    1.07    0.00    0.00    0.14    0.00    0.00    0.00   96.78
Average:       7    2.07    0.00    1.07    0.00    0.00    0.07    0.00    0.00    0.00   96.78
Average:       8    3.36    0.00    0.86    0.00    0.00    0.14    0.00    0.00    0.00   95.63
Average:       9    1.00    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   98.13
Average:      10    1.57    0.00    0.93    0.21    0.00    0.21    0.00    0.00    0.00   97.07
Average:      11    2.87    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   96.48
Average:      12    1.72    0.00    0.93    0.00    0.00    0.21    0.00    0.00    0.00   97.14
Average:      13    5.00    0.00    0.86   14.72    0.00    0.14    0.00    0.00    0.00   79.27
Average:      14    5.02    0.00    1.15    0.07    0.00    0.07    0.00    0.00    0.00   93.69
Average:      15    2.07    0.00    0.93    0.00    0.00    0.14    0.00    0.00    0.00   96.85
Average:      16    1.43    0.00    0.86    0.86    0.00    0.07    0.00    0.00    0.00   96.78
Average:      17    4.15    0.00    0.72    0.00    0.00    0.21    0.00    0.00    0.00   94.92
Average:      18    1.15    0.00    1.15    0.29    0.00    0.14    0.00    0.00    0.00   97.27
Average:      19    2.14    0.00    1.14    0.00    0.00    0.14    0.00    0.00    0.00   96.57
Average:      20    1.29    0.00    1.00    0.07    0.00    0.14    0.00    0.00    0.00   97.50
Average:      21    3.72    0.00    1.43    0.00    0.00    0.00    0.00    0.00    0.00   94.84
Average:      22    1.79    0.00    1.22    0.29    0.00    0.07    0.00    0.00    0.00   96.63
Average:      23    1.43    0.00    0.72    0.00    0.00    0.29    0.00    0.00    0.00   97.56
