Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.61    0.00    0.54    0.03    0.00    0.17    0.00    0.00    0.00   97.66
Average:       0    2.24    0.00    0.37    0.00    0.00    0.99    0.00    0.00    0.00   96.40
Average:       1    1.00    0.00    0.62    0.00    0.00    0.50    0.00    0.00    0.00   97.88
Average:       2    1.83    0.00    0.54    0.00    0.00    0.17    0.00    0.00    0.00   97.46
Average:       3    0.71    0.00    0.75    0.00    0.00    0.17    0.00    0.00    0.00   98.38
Average:       4    1.12    0.00    0.79    0.00    0.00    0.25    0.00    0.00    0.00   97.83
Average:       5    1.58    0.00    0.42    0.00    0.00    0.08    0.00    0.00    0.00   97.91
Average:       6    1.79    0.00    0.46    0.00    0.00    0.25    0.00    0.00    0.00   97.50
Average:       7    2.55    0.00    0.58    0.00    0.00    0.13    0.00    0.00    0.00   96.74
Average:       8    2.62    0.00    0.42    0.00    0.00    0.04    0.00    0.00    0.00   96.92
Average:       9    1.13    0.00    0.75    0.00    0.00    0.17    0.00    0.00    0.00   97.96
Average:      10    1.42    0.00    0.67    0.00    0.00    0.04    0.00    0.00    0.00   97.87
Average:      11    3.13    0.00    0.25    0.00    0.00    0.13    0.00    0.00    0.00   96.49
Average:      12    0.63    0.00    0.58    0.00    0.00    0.13    0.00    0.00    0.00   98.66
Average:      13    1.25    0.00    0.46    0.63    0.00    0.08    0.00    0.00    0.00   97.58
Average:      14    0.46    0.00    0.63    0.04    0.00    0.08    0.00    0.00    0.00   98.79
Average:      15    3.01    0.00    0.46    0.00    0.00    0.08    0.00    0.00    0.00   96.45
Average:      16    1.33    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   97.92
Average:      17    1.29    0.00    0.63    0.00    0.00    0.08    0.00    0.00    0.00   98.00
Average:      18    2.51    0.00    0.46    0.00    0.00    0.04    0.00    0.00    0.00   96.99
Average:      19    1.25    0.00    0.25    0.00    0.00    0.08    0.00    0.00    0.00   98.41
Average:      20    3.76    0.00    0.63    0.00    0.00    0.04    0.00    0.00    0.00   95.58
Average:      21    0.71    0.00    0.54    0.00    0.00    0.08    0.00    0.00    0.00   98.67
Average:      22    0.71    0.00    0.67    0.00    0.00    0.17    0.00    0.00    0.00   98.46
Average:      23    0.54    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   98.87
