Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.52    0.00    0.55    0.03    0.00    0.18    0.00    0.00    0.00   97.72
Average:       0    1.69    0.00    0.70    0.00    0.00    1.48    0.00    0.00    0.00   96.13
Average:       1    0.57    0.00    0.50    0.00    0.00    0.99    0.00    0.00    0.00   97.94
Average:       2    1.07    0.00    1.28    0.00    0.00    0.07    0.00    0.00    0.00   97.58
Average:       3    1.14    0.00    0.79    0.00    0.00    0.29    0.00    0.00    0.00   97.79
Average:       4    2.22    0.00    0.65    0.00    0.00    0.14    0.00    0.00    0.00   96.99
Average:       5    1.00    0.00    0.29    0.00    0.00    0.14    0.00    0.00    0.00   98.57
Average:       6    3.44    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   96.20
Average:       7    0.43    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   99.07
Average:       8    0.93    0.00    0.57    0.00    0.00    0.07    0.00    0.00    0.00   98.43
Average:       9    1.86    0.00    0.36    0.00    0.00    0.07    0.00    0.00    0.00   97.71
Average:      10    1.07    0.00    0.36    0.00    0.00    0.07    0.00    0.00    0.00   98.50
Average:      11    0.65    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   98.78
Average:      12    0.79    0.00    0.57    0.00    0.00    0.07    0.00    0.00    0.00   98.57
Average:      13    1.07    0.00    0.72    0.50    0.00    0.00    0.00    0.00    0.00   97.71
Average:      14    0.57    0.00    0.57    0.00    0.00    0.07    0.00    0.00    0.00   98.78
Average:      15    0.79    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   98.64
Average:      16    2.29    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   97.35
Average:      17    3.28    0.00    0.57    0.00    0.00    0.07    0.00    0.00    0.00   96.08
Average:      18    0.57    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   98.86
Average:      19    2.08    0.00    0.50    0.00    0.00    0.14    0.00    0.00    0.00   97.27
Average:      20    4.51    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   95.28
Average:      21    1.64    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   97.57
Average:      22    2.08    0.00    0.57    0.29    0.00    0.00    0.00    0.00    0.00   97.07
Average:      23    0.93    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   98.50
