Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1690193840,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1690193841,20,GET,perf_check,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,62.343876001250464,67.72104750052677,62.343876001250464,73.09821899980307,120.0
1690193841,20,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,62.343876001250464,67.72104750052677,62.343876001250464,73.09821899980307,120.0
1690193842,40,GET,perf_check,0.000000,0.000000,79,79,96,96,96,96,96,96,96,96,96,6,0,70,74.0370861667543,62.343876001250464,95.70344200074032,119.66666666666667
1690193842,40,,Aggregated,0.000000,0.000000,79,79,96,96,96,96,96,96,96,96,96,6,0,70,74.0370861667543,62.343876001250464,95.70344200074032,119.66666666666667
1690193843,60,GET,perf_check,0.000000,0.000000,160,200,280,290,360,360,360,360,360,360,360,22,0,150.0,173.23761931823935,62.343876001250464,356.88536599991494,119.81818181818181
1690193843,60,,Aggregated,0.000000,0.000000,160,200,280,290,360,360,360,360,360,360,360,22,0,150.0,173.23761931823935,62.343876001250464,356.88536599991494,119.81818181818181
1690193844,80,GET,perf_check,2.000000,0.000000,190,230,280,290,380,380,380,380,380,380,380,58,0,180.0,197.56714660340143,62.343876001250464,378.1595330001437,119.82758620689656
1690193844,80,,Aggregated,2.000000,0.000000,190,230,280,290,380,380,380,380,380,380,380,58,0,180.0,197.56714660340143,62.343876001250464,378.1595330001437,119.82758620689656
1690193845,100,GET,perf_check,7.333333,0.000000,200,270,320,350,380,410,420,420,420,420,420,114,0,200.0,223.4773565789925,62.343876001250464,422.1885220013064,119.75438596491227
1690193845,100,,Aggregated,7.333333,0.000000,200,270,320,350,380,410,420,420,420,420,420,114,0,200.0,223.4773565789925,62.343876001250464,422.1885220013064,119.75438596491227
1690193846,100,GET,perf_check,14.500000,0.000000,200,280,320,350,380,420,420,430,430,430,430,165,0,200.0,221.7263688303457,35.15316000084567,431.67218700000376,119.76363636363637
1690193846,100,,Aggregated,14.500000,0.000000,200,280,320,350,380,420,420,430,430,430,430,165,0,200.0,221.7263688303457,35.15316000084567,431.67218700000376,119.76363636363637
1690193847,100,GET,perf_check,20.000000,0.000000,180,240,290,320,380,400,420,420,430,430,430,204,0,180.0,196.89138126964548,24.64940000027127,431.67218700000376,119.75490196078431
1690193847,100,,Aggregated,20.000000,0.000000,180,240,290,320,380,400,420,420,430,430,430,204,0,180.0,196.89138126964548,24.64940000027127,431.67218700000376,119.75490196078431
1690193848,100,GET,perf_check,22.000000,0.000000,180,220,260,290,360,390,420,420,430,430,430,256,0,180.0,189.68015964457408,24.64940000027127,431.67218700000376,119.78125
1690193848,100,,Aggregated,22.000000,0.000000,180,220,260,290,360,390,420,420,430,430,430,256,0,180.0,189.68015964457408,24.64940000027127,431.67218700000376,119.78125
1690193849,100,GET,perf_check,26.285714,0.000000,170,210,250,280,350,390,420,430,8900,8900,8900,312,0,170.0,231.7953197019529,24.64940000027127,8899.458029000016,119.76282051282051
1690193849,100,,Aggregated,26.285714,0.000000,170,210,250,280,350,390,420,430,8900,8900,8900,312,0,170.0,231.7953197019529,24.64940000027127,8899.458029000016,119.76282051282051
1690193850,100,GET,perf_check,30.000000,0.000000,150,200,240,270,360,420,8900,9600,9900,9900,9900,372,0,150.0,409.9916774597102,24.64940000027127,9922.798567999052,119.76881720430107
1690193850,100,,Aggregated,30.000000,0.000000,150,200,240,270,360,420,8900,9600,9900,9900,9900,372,0,150.0,409.9916774597102,24.64940000027127,9922.798567999052,119.76881720430107
1690193851,100,GET,perf_check,32.333333,0.000000,140,190,240,280,380,9400,10000,11000,11000,11000,11000,454,0,140.0,745.71085822909,22.872862999065546,10952.128910999818,119.77533039647577
1690193851,100,,Aggregated,32.333333,0.000000,140,190,240,280,380,9400,10000,11000,11000,11000,11000,454,0,140.0,745.71085822909,22.872862999065546,10952.128910999818,119.77533039647577
1690193852,100,GET,perf_check,33.900000,0.000000,100,180,220,260,420,9800,10000,11000,11000,11000,11000,550,0,100.0,910.214749003641,21.33315399987623,10952.128910999818,119.7909090909091
1690193852,100,,Aggregated,33.900000,0.000000,100,180,220,260,420,9800,10000,11000,11000,11000,11000,550,0,100.0,910.214749003641,21.33315399987623,10952.128910999818,119.7909090909091
1690193853,100,GET,perf_check,40.400000,0.000000,67,140,190,220,380,9600,10000,11000,11000,11000,11000,641,0,77,785.1226664274701,21.33315399987623,10952.128910999818,119.78783151326053
1690193853,100,,Aggregated,40.400000,0.000000,67,140,190,220,380,9600,10000,11000,11000,11000,11000,641,0,77,785.1226664274701,21.33315399987623,10952.128910999818,119.78783151326053
1690193854,100,GET,perf_check,49.500000,0.000000,53,82,150,190,320,9600,10000,11000,11000,11000,11000,741,0,63,682.9919549500729,21.33315399987623,10952.128910999818,119.79217273954116
1690193854,100,,Aggregated,49.500000,0.000000,53,82,150,190,320,9600,10000,11000,11000,11000,11000,741,0,63,682.9919549500729,21.33315399987623,10952.128910999818,119.79217273954116
1690193855,100,GET,perf_check,57.900000,0.000000,41,63,95,160,260,9400,10000,11000,11000,11000,11000,839,0,53,606.7257193158499,21.33315399987623,10952.128910999818,119.79141835518475
1690193855,100,,Aggregated,57.900000,0.000000,41,63,95,160,260,9400,10000,11000,11000,11000,11000,839,0,53,606.7257193158499,21.33315399987623,10952.128910999818,119.79141835518475
1690193856,100,GET,perf_check,64.300000,0.000000,31,51,65,87,190,9400,10000,11000,11000,11000,11000,939,0,43,545.497408797652,21.33315399987623,10952.128910999818,119.78700745473908
1690193856,100,,Aggregated,64.300000,0.000000,31,51,65,87,190,9400,10000,11000,11000,11000,11000,939,0,43,545.497408797652,21.33315399987623,10952.128910999818,119.78700745473908
1690193857,100,GET,perf_check,70.100000,0.000000,29,38,51,63,170,9300,10000,11000,11000,11000,11000,1039,0,36,495.73657194995,21.33315399987623,10952.128910999818,119.78825794032724
1690193857,100,,Aggregated,70.100000,0.000000,29,38,51,63,170,9300,10000,11000,11000,11000,11000,1039,0,36,495.73657194995,21.33315399987623,10952.128910999818,119.78825794032724
1690193858,100,GET,perf_check,76.900000,0.000000,29,33,41,50,78,8200,10000,10000,11000,11000,11000,1139,0,33,454.9759112949759,21.33315399987623,10952.128910999818,119.78665496049166
1690193858,100,,Aggregated,76.900000,0.000000,29,33,41,50,78,8200,10000,10000,11000,11000,11000,1139,0,33,454.9759112949759,21.33315399987623,10952.128910999818,119.78665496049166
1690193859,100,GET,perf_check,81.000000,0.000000,29,34,42,48,69,160,10000,10000,11000,11000,11000,1239,0,35,422.12114766826244,21.33315399987623,10952.128910999818,119.78369652945923
1690193859,100,,Aggregated,81.000000,0.000000,29,34,42,48,69,160,10000,10000,11000,11000,11000,1239,0,35,422.12114766826244,21.33315399987623,10952.128910999818,119.78369652945923
1690193860,100,GET,perf_check,84.800000,0.000000,29,32,36,40,53,73,9900,10000,11000,11000,11000,1339,0,34,393.0525225660805,21.33315399987623,10952.128910999818,119.78416728902165
1690193860,100,,Aggregated,84.800000,0.000000,29,32,36,40,53,73,9900,10000,11000,11000,11000,1339,0,34,393.0525225660805,21.33315399987623,10952.128910999818,119.78416728902165
1690193861,100,GET,perf_check,88.500000,0.000000,29,33,37,39,47,56,73,86,11000,11000,11000,1401,0,35,377.47688842040054,21.33315399987623,10952.128910999818,119.78015703069237
1690193861,100,,Aggregated,88.500000,0.000000,29,33,37,39,47,56,73,86,11000,11000,11000,1401,0,35,377.47688842040054,21.33315399987623,10952.128910999818,119.78015703069237
1690193862,100,GET,perf_check,92.700000,0.000000,31,34,39,41,54,80,240,250,270,270,270,1501,0,36,359.5488892538102,21.33315399987623,10952.128910999818,119.77481678880746
1690193862,100,,Aggregated,92.700000,0.000000,31,34,39,41,54,80,240,250,270,270,270,1501,0,36,359.5488892538102,21.33315399987623,10952.128910999818,119.77481678880746
1690193863,100,GET,perf_check,96.000000,0.000000,31,36,41,45,66,92,240,250,270,270,270,1601,0,36,340.1614367576318,21.33315399987623,10952.128910999818,119.77139287945035
1690193863,100,,Aggregated,96.000000,0.000000,31,36,41,45,66,92,240,250,270,270,270,1601,0,36,340.1614367576318,21.33315399987623,10952.128910999818,119.77139287945035
1690193864,100,GET,perf_check,96.500000,0.000000,32,38,43,47,72,120,240,250,270,270,270,1701,0,35,322.7344818095066,21.33315399987623,10952.128910999818,119.77366255144032
1690193864,100,,Aggregated,96.500000,0.000000,32,38,43,47,72,120,240,250,270,270,270,1701,0,35,322.7344818095066,21.33315399987623,10952.128910999818,119.77366255144032
1690193865,100,GET,perf_check,96.500000,0.000000,33,38,43,47,71,110,240,250,270,270,270,1801,0,35,306.7151139105848,21.33315399987623,10952.128910999818,119.77401443642421
1690193865,100,,Aggregated,96.500000,0.000000,33,38,43,47,71,110,240,250,270,270,270,1801,0,35,306.7151139105848,21.33315399987623,10952.128910999818,119.77401443642421
1690193866,100,GET,perf_check,96.500000,0.000000,34,39,44,48,71,95,240,250,270,270,270,1901,0,35,292.4155046222827,21.33315399987623,10952.128910999818,119.77695949500263
