Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   29.57    0.00    4.34    0.28    0.00    0.32    0.00    0.00    0.00   65.50
Average:       0   28.26    0.00    4.46    0.03    0.00    0.76    0.00    0.00    0.00   66.49
Average:       1   28.78    0.00    4.95    0.03    0.00    0.50    0.00    0.00    0.00   65.74
Average:       2   27.89    0.00    4.60    0.15    0.00    0.44    0.00    0.00    0.00   66.91
Average:       3   30.04    0.00    4.25    0.00    0.00    0.27    0.00    0.00    0.00   65.45
Average:       4   28.82    0.00    4.53    0.00    0.00    0.36    0.00    0.00    0.00   66.29
Average:       5   31.49    0.00    4.05    0.03    0.00    0.12    0.00    0.00    0.00   64.31
Average:       6   29.31    0.00    4.43    0.00    0.00    0.38    0.00    0.00    0.00   65.88
Average:       7   29.88    0.00    3.69    0.03    0.00    0.21    0.00    0.00    0.00   66.18
Average:       8   29.50    0.00    4.02    0.00    0.00    0.21    0.00    0.00    0.00   66.27
Average:       9   29.57    0.00    4.07    0.00    0.00    0.38    0.00    0.00    0.00   65.97
Average:      10   28.52    0.00    4.85    0.00    0.00    0.15    0.00    0.00    0.00   66.48
Average:      11   30.09    0.00    4.28    0.00    0.00    0.27    0.00    0.00    0.00   65.37
Average:      12   28.45    0.00    4.23    0.00    0.00    0.47    0.00    0.00    0.00   66.84
Average:      13   30.52    0.00    4.13    6.14    0.00    0.30    0.00    0.00    0.00   58.91
Average:      14   29.58    0.00    4.91    0.03    0.00    0.24    0.00    0.00    0.00   65.25
Average:      15   30.07    0.00    4.51    0.06    0.00    0.27    0.00    0.00    0.00   65.09
Average:      16   30.44    0.00    4.37    0.09    0.00    0.18    0.00    0.00    0.00   64.93
Average:      17   30.16    0.00    4.02    0.03    0.00    0.33    0.00    0.00    0.00   65.46
Average:      18   29.28    0.00    4.18    0.00    0.00    0.18    0.00    0.00    0.00   66.36
Average:      19   28.66    0.00    4.05    0.00    0.00    0.44    0.00    0.00    0.00   66.84
Average:      20   30.87    0.00    4.37    0.00    0.00    0.21    0.00    0.00    0.00   64.55
Average:      21   29.89    0.00    4.57    0.00    0.00    0.27    0.00    0.00    0.00   65.28
Average:      22   29.60    0.00    4.29    0.00    0.00    0.33    0.00    0.00    0.00   65.79
Average:      23   29.99    0.00    4.25    0.12    0.00    0.38    0.00    0.00    0.00   65.26
