Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.60    0.00    0.59    0.02    0.00    0.17    0.00    0.00    0.00   97.62
Average:       0    2.78    0.00    0.43    0.00    0.00    0.93    0.00    0.00    0.00   95.87
Average:       1    0.85    0.00    0.21    0.00    0.00    1.14    0.00    0.00    0.00   97.80
Average:       2    1.57    0.00    0.64    0.00    0.00    0.29    0.00    0.00    0.00   97.50
Average:       3    1.28    0.00    0.43    0.00    0.00    0.21    0.00    0.00    0.00   98.07
Average:       4    1.79    0.00    0.29    0.00    0.00    0.14    0.00    0.00    0.00   97.78
Average:       5    3.65    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   96.21
Average:       6    1.07    0.00    0.36    0.00    0.00    0.21    0.00    0.00    0.00   98.36
Average:       7    0.29    0.00    1.00    0.00    0.00    0.07    0.00    0.00    0.00   98.64
Average:       8    1.50    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   97.93
Average:       9    1.28    0.00    0.86    0.00    0.00    0.07    0.00    0.00    0.00   97.79
Average:      10    0.93    0.00    1.15    0.00    0.00    0.00    0.00    0.00    0.00   97.92
Average:      11    3.78    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   95.72
Average:      12    1.22    0.00    0.64    0.00    0.00    0.07    0.00    0.00    0.00   98.07
Average:      13    2.00    0.00    0.72    0.43    0.00    0.07    0.00    0.00    0.00   96.78
Average:      14    1.50    0.00    0.57    0.07    0.00    0.07    0.00    0.00    0.00   97.79
Average:      15    0.71    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   98.21
Average:      16    0.86    0.00    0.64    0.00    0.00    0.07    0.00    0.00    0.00   98.43
Average:      17    1.00    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   98.64
Average:      18    2.22    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.35
Average:      19    1.65    0.00    0.64    0.00    0.00    0.14    0.00    0.00    0.00   97.56
Average:      20    1.58    0.00    0.57    0.00    0.00    0.07    0.00    0.00    0.00   97.78
Average:      21    3.42    0.00    0.78    0.00    0.00    0.14    0.00    0.00    0.00   95.65
Average:      22    1.00    0.00    0.64    0.00    0.00    0.14    0.00    0.00    0.00   98.21
Average:      23    0.50    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   98.86
