Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.45    0.00    0.88    0.53    0.00    0.24    0.00    0.00    0.00   95.91
Average:       0    2.55    0.00    0.62    0.16    0.00    1.77    0.00    0.00    0.00   94.90
Average:       1    0.95    0.00    0.87    0.00    0.00    0.66    0.00    0.00    0.00   97.51
Average:       2    1.25    0.00    1.21    0.00    0.00    0.21    0.00    0.00    0.00   97.33
Average:       3    3.12    0.00    0.62    0.00    0.00    0.29    0.00    0.00    0.00   95.96
Average:       4    1.09    0.00    0.67    0.00    0.00    0.38    0.00    0.00    0.00   97.87
Average:       5    2.17    0.00    0.75    0.00    0.00    0.08    0.00    0.00    0.00   96.99
Average:       6    1.87    0.00    1.25    1.29    0.00    0.33    0.00    0.00    0.00   95.26
Average:       7    2.59    0.00    1.04    0.00    0.00    0.25    0.00    0.00    0.00   96.12
Average:       8    4.38    0.00    0.63    0.00    0.00    0.13    0.00    0.00    0.00   94.87
Average:       9    2.21    0.00    1.00    0.00    0.00    0.17    0.00    0.00    0.00   96.63
Average:      10    3.18    0.00    0.59    0.00    0.00    0.08    0.00    0.00    0.00   96.15
Average:      11    2.59    0.00    1.00    0.00    0.00    0.13    0.00    0.00    0.00   96.28
Average:      12    1.50    0.00    0.63    0.04    0.00    0.04    0.00    0.00    0.00   97.79
Average:      13    5.05    0.00    0.83    9.35    0.00    0.13    0.00    0.00    0.00   84.64
Average:      14    1.88    0.00    1.00    0.42    0.00    0.08    0.00    0.00    0.00   96.62
Average:      15    4.79    0.00    0.79    0.12    0.00    0.12    0.00    0.00    0.00   94.17
Average:      16    1.25    0.00    0.96    1.25    0.00    0.04    0.00    0.00    0.00   96.49
Average:      17    2.30    0.00    0.79    0.04    0.00    0.13    0.00    0.00    0.00   96.74
Average:      18    1.21    0.00    1.09    0.00    0.00    0.08    0.00    0.00    0.00   97.62
Average:      19    1.80    0.00    0.79    0.00    0.00    0.04    0.00    0.00    0.00   97.36
Average:      20    4.14    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   95.11
Average:      21    3.13    0.00    1.17    0.08    0.00    0.04    0.00    0.00    0.00   95.58
Average:      22    2.92    0.00    0.92    0.00    0.00    0.21    0.00    0.00    0.00   95.96
Average:      23    0.92    0.00    1.00    0.00    0.00    0.13    0.00    0.00    0.00   97.95
