Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    6.46    0.00    2.46    0.02    0.00    0.41    0.00    0.00    0.00   90.65
Average:       0    6.13    0.00    2.35    0.00    0.00    1.06    0.00    0.00    0.00   90.47
Average:       1    6.44    0.00    2.68    0.00    0.00    0.50    0.00    0.00    0.00   90.38
Average:       2    6.31    0.00    2.56    0.00    0.00    0.38    0.00    0.00    0.00   90.75
Average:       3    6.67    0.00    2.54    0.00    0.00    0.35    0.00    0.00    0.00   90.43
Average:       4    6.66    0.00    2.54    0.00    0.00    0.50    0.00    0.00    0.00   90.30
Average:       5    6.64    0.00    2.30    0.00    0.00    0.24    0.00    0.00    0.00   90.82
Average:       6    7.00    0.00    2.63    0.00    0.00    0.50    0.00    0.00    0.00   89.87
Average:       7    6.33    0.00    2.40    0.00    0.00    0.24    0.00    0.00    0.00   91.04
Average:       8    6.40    0.00    2.48    0.00    0.00    0.21    0.00    0.00    0.00   90.91
Average:       9    6.05    0.00    2.27    0.00    0.00    0.65    0.00    0.00    0.00   91.03
Average:      10    6.88    0.00    2.51    0.00    0.00    0.32    0.00    0.00    0.00   90.28
Average:      11    6.24    0.00    2.77    0.00    0.00    0.29    0.00    0.00    0.00   90.69
Average:      12    6.24    0.00    2.45    0.00    0.00    0.53    0.00    0.00    0.00   90.78
Average:      13    6.27    0.00    2.28    0.38    0.00    0.33    0.00    0.00    0.00   90.74
Average:      14    6.55    0.00    2.48    0.00    0.00    0.38    0.00    0.00    0.00   90.58
Average:      15    6.22    0.00    2.65    0.00    0.00    0.29    0.00    0.00    0.00   90.83
Average:      16    6.07    0.00    2.31    0.06    0.00    0.30    0.00    0.00    0.00   91.27
Average:      17    6.24    0.00    2.66    0.00    0.00    0.56    0.00    0.00    0.00   90.54
Average:      18    6.40    0.00    2.27    0.00    0.00    0.35    0.00    0.00    0.00   90.98
Average:      19    6.03    0.00    2.39    0.00    0.00    0.44    0.00    0.00    0.00   91.14
Average:      20    7.23    0.00    2.39    0.00    0.00    0.24    0.00    0.00    0.00   90.14
Average:      21    6.67    0.00    2.31    0.00    0.00    0.27    0.00    0.00    0.00   90.75
Average:      22    6.84    0.00    2.65    0.00    0.00    0.59    0.00    0.00    0.00   89.92
Average:      23    6.49    0.00    2.28    0.00    0.00    0.50    0.00    0.00    0.00   90.73
