Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.65    0.00    0.57    0.05    0.00    0.15    0.00    0.00    0.00   97.57
Average:       0    2.99    0.00    0.46    0.00    0.00    0.70    0.00    0.00    0.00   95.85
Average:       1    0.70    0.00    0.50    0.00    0.00    0.83    0.00    0.00    0.00   97.97
Average:       2    0.54    0.00    0.62    0.00    0.00    0.29    0.00    0.00    0.00   98.54
Average:       3    1.33    0.00    0.42    0.00    0.00    0.12    0.00    0.00    0.00   98.13
Average:       4    1.17    0.00    0.42    0.00    0.00    0.29    0.00    0.00    0.00   98.12
Average:       5    1.75    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   97.38
Average:       6    0.29    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   99.17
Average:       7    0.54    0.00    0.38    0.00    0.00    0.08    0.00    0.00    0.00   99.00
Average:       8    0.96    0.00    0.33    0.00    0.00    0.08    0.00    0.00    0.00   98.62
Average:       9    1.00    0.00    0.63    0.00    0.00    0.17    0.00    0.00    0.00   98.20
Average:      10    0.92    0.00    0.54    0.00    0.00    0.04    0.00    0.00    0.00   98.50
Average:      11    1.54    0.00    0.46    0.00    0.00    0.08    0.00    0.00    0.00   97.91
Average:      12    0.88    0.00    0.42    0.00    0.00    0.08    0.00    0.00    0.00   98.62
Average:      13    3.54    0.00    0.46    1.21    0.00    0.08    0.00    0.00    0.00   94.71
Average:      14    1.58    0.00    0.79    0.00    0.00    0.13    0.00    0.00    0.00   97.50
Average:      15    1.38    0.00    0.83    0.08    0.00    0.04    0.00    0.00    0.00   97.67
Average:      16    0.79    0.00    0.83    0.00    0.00    0.04    0.00    0.00    0.00   98.33
Average:      17    1.80    0.00    0.50    0.00    0.00    0.13    0.00    0.00    0.00   97.58
Average:      18    2.46    0.00    0.75    0.00    0.00    0.04    0.00    0.00    0.00   96.75
Average:      19    3.92    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   95.33
Average:      20    3.88    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   95.20
Average:      21    2.17    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   97.29
Average:      22    2.83    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   96.58
Average:      23    0.50    0.00    0.59    0.00    0.00    0.08    0.00    0.00    0.00   98.83
