Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.60    0.00    0.57    0.03    0.00    0.15    0.00    0.00    0.00   97.65
Average:       0    1.86    0.00    0.33    0.00    0.00    1.12    0.00    0.00    0.00   96.69
Average:       1    1.42    0.00    0.54    0.00    0.00    0.33    0.00    0.00    0.00   97.71
Average:       2    1.12    0.00    0.71    0.00    0.00    0.12    0.00    0.00    0.00   98.04
Average:       3    1.88    0.00    0.58    0.00    0.00    0.29    0.00    0.00    0.00   97.25
Average:       4    1.17    0.00    0.71    0.00    0.00    0.13    0.00    0.00    0.00   98.00
Average:       5    2.34    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.25
Average:       6    0.88    0.00    0.46    0.00    0.00    0.17    0.00    0.00    0.00   98.50
Average:       7    0.92    0.00    0.46    0.00    0.00    0.13    0.00    0.00    0.00   98.50
Average:       8    0.33    0.00    0.58    0.00    0.00    0.08    0.00    0.00    0.00   99.00
Average:       9    1.46    0.00    0.58    0.00    0.00    0.08    0.00    0.00    0.00   97.87
Average:      10    0.96    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   98.25
Average:      11    1.25    0.00    0.79    0.00    0.00    0.04    0.00    0.00    0.00   97.91
Average:      12    1.46    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   97.99
Average:      13    2.25    0.00    0.75    0.62    0.00    0.08    0.00    0.00    0.00   96.29
Average:      14    1.50    0.00    0.63    0.04    0.00    0.08    0.00    0.00    0.00   97.75
Average:      15    2.55    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   96.91
Average:      16    2.50    0.00    0.46    0.00    0.00    0.04    0.00    0.00    0.00   97.00
Average:      17    2.46    0.00    0.50    0.00    0.00    0.21    0.00    0.00    0.00   96.83
Average:      18    1.55    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   97.87
Average:      19    1.46    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   97.66
Average:      20    2.54    0.00    0.58    0.00    0.00    0.08    0.00    0.00    0.00   96.79
Average:      21    0.96    0.00    0.58    0.00    0.00    0.08    0.00    0.00    0.00   98.37
Average:      22    1.62    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   97.62
Average:      23    1.87    0.00    0.46    0.00    0.00    0.17    0.00    0.00    0.00   97.50
