Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   18.36    0.00    6.01    0.25    0.00    0.80    0.00    0.00    0.00   74.58
Average:       0   18.27    0.00    6.30    0.09    0.00    0.92    0.00    0.00    0.00   74.42
Average:       1   18.45    0.00    5.85    0.06    0.00    0.80    0.00    0.00    0.00   74.84
Average:       2   18.11    0.00    6.21    0.03    0.00    0.65    0.00    0.00    0.00   74.99
Average:       3   18.43    0.00    5.99    0.00    0.00    0.68    0.00    0.00    0.00   74.90
Average:       4   18.37    0.00    6.15    0.06    0.00    1.04    0.00    0.00    0.00   74.38
Average:       5   19.04    0.00    5.41    0.00    0.00    0.59    0.00    0.00    0.00   74.96
Average:       6   18.27    0.00    5.52    0.00    0.00    0.89    0.00    0.00    0.00   75.32
Average:       7   18.23    0.00    5.68    0.03    0.00    0.57    0.00    0.00    0.00   75.49
Average:       8   17.37    0.00    6.55    0.00    0.00    0.65    0.00    0.00    0.00   75.42
Average:       9   18.10    0.00    6.91    0.06    0.00    0.92    0.00    0.00    0.00   74.01
Average:      10   18.17    0.00    6.24    0.00    0.00    0.68    0.00    0.00    0.00   74.91
Average:      11   18.61    0.00    5.79    0.00    0.00    0.71    0.00    0.00    0.00   74.90
Average:      12   18.07    0.00    5.86    0.09    0.00    1.18    0.00    0.00    0.00   74.79
Average:      13   18.69    0.00    5.92    3.61    0.00    0.71    0.00    0.00    0.00   71.06
Average:      14   19.25    0.00    6.13    0.24    0.00    0.59    0.00    0.00    0.00   73.79
Average:      15   18.52    0.00    6.14    0.12    0.00    0.80    0.00    0.00    0.00   74.41
Average:      16   19.50    0.00    5.57    0.06    0.00    0.59    0.00    0.00    0.00   74.27
Average:      17   17.35    0.00    6.07    1.21    0.00    1.24    0.00    0.00    0.00   74.13
Average:      18   17.95    0.00    6.29    0.00    0.00    0.59    0.00    0.00    0.00   75.17
Average:      19   18.83    0.00    6.08    0.06    0.00    1.22    0.00    0.00    0.00   73.82
Average:      20   19.64    0.00    5.37    0.00    0.00    0.56    0.00    0.00    0.00   74.42
Average:      21   18.15    0.00    6.11    0.15    0.00    0.53    0.00    0.00    0.00   75.05
Average:      22   17.75    0.00    5.85    0.15    0.00    1.04    0.00    0.00    0.00   75.22
Average:      23   17.44    0.00    6.18    0.00    0.00    1.01    0.00    0.00    0.00   75.37
