Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.83    0.00    0.65    0.37    0.00    0.17    0.00    0.00    0.00   96.98
Average:       0    1.32    0.00    0.58    0.00    0.00    1.40    0.00    0.00    0.00   96.70
Average:       1    1.16    0.00    0.42    0.00    0.00    0.50    0.00    0.00    0.00   97.92
Average:       2    2.46    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   96.96
Average:       3    2.08    0.00    0.62    0.00    0.00    0.17    0.00    0.00    0.00   97.13
Average:       4    1.05    0.00    0.59    0.00    0.00    0.21    0.00    0.00    0.00   98.16
Average:       5    2.25    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   96.79
Average:       6    1.46    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   97.75
Average:       7    1.50    0.00    0.71    0.00    0.00    0.17    0.00    0.00    0.00   97.62
Average:       8    1.29    0.00    0.63    0.00    0.00    0.04    0.00    0.00    0.00   98.04
Average:       9    1.38    0.00    0.54    0.00    0.00    0.13    0.00    0.00    0.00   97.95
Average:      10    1.58    0.00    0.63    0.00    0.00    0.04    0.00    0.00    0.00   97.75
Average:      11    1.96    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   97.29
Average:      12    1.76    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   97.61
Average:      13    2.74    0.00    0.83    7.27    0.00    0.17    0.00    0.00    0.00   88.99
Average:      14    1.25    0.00    0.63    1.55    0.00    0.08    0.00    0.00    0.00   96.49
Average:      15    1.50    0.00    0.46    0.00    0.00    0.08    0.00    0.00    0.00   97.96
Average:      16    2.38    0.00    0.71    0.08    0.00    0.08    0.00    0.00    0.00   96.75
Average:      17    1.25    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   97.95
Average:      18    3.01    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   96.41
Average:      19    3.21    0.00    0.88    0.00    0.00    0.17    0.00    0.00    0.00   95.74
Average:      20    2.75    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   96.50
Average:      21    1.51    0.00    0.75    0.00    0.00    0.08    0.00    0.00    0.00   97.66
Average:      22    1.17    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   97.87
Average:      23    2.00    0.00    0.54    0.00    0.00    0.08    0.00    0.00    0.00   97.37
