Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.67    0.00    0.55    0.02    0.00    0.12    0.00    0.00    0.00   97.64
Average:       0    1.53    0.00    0.58    0.00    0.00    0.62    0.00    0.00    0.00   97.26
Average:       1    0.87    0.00    0.42    0.00    0.00    0.29    0.00    0.00    0.00   98.42
Average:       2    2.13    0.00    0.54    0.00    0.00    0.13    0.00    0.00    0.00   97.21
Average:       3    1.88    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   97.25
Average:       4    1.92    0.00    0.63    0.00    0.00    0.08    0.00    0.00    0.00   97.37
Average:       5    1.71    0.00    0.38    0.00    0.00    0.08    0.00    0.00    0.00   97.83
Average:       6    0.75    0.00    0.17    0.00    0.00    0.38    0.00    0.00    0.00   98.71
Average:       7    0.88    0.00    0.42    0.00    0.00    0.08    0.00    0.00    0.00   98.62
Average:       8    1.46    0.00    0.92    0.00    0.00    0.04    0.00    0.00    0.00   97.59
Average:       9    1.33    0.00    0.46    0.00    0.00    0.08    0.00    0.00    0.00   98.13
Average:      10    0.58    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   98.83
Average:      11    1.59    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.96
Average:      12    1.25    0.00    0.50    0.00    0.00    0.13    0.00    0.00    0.00   98.12
Average:      13    3.75    0.00    0.46    0.38    0.00    0.08    0.00    0.00    0.00   95.33
Average:      14    2.38    0.00    0.33    0.17    0.00    0.04    0.00    0.00    0.00   97.08
Average:      15    1.42    0.00    0.88    0.04    0.00    0.00    0.00    0.00    0.00   97.66
Average:      16    1.09    0.00    0.67    0.00    0.00    0.04    0.00    0.00    0.00   98.20
Average:      17    1.71    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   97.54
Average:      18    2.50    0.00    0.58    0.00    0.00    0.12    0.00    0.00    0.00   96.80
Average:      19    2.24    0.00    0.71    0.00    0.00    0.08    0.00    0.00    0.00   96.97
Average:      20    1.59    0.00    0.54    0.00    0.00    0.08    0.00    0.00    0.00   97.79
Average:      21    2.25    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.29
Average:      22    2.21    0.00    0.42    0.00    0.00    0.08    0.00    0.00    0.00   97.28
Average:      23    1.04    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   98.21
