Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.34    0.00    0.91    0.72    0.00    0.21    0.00    0.00    0.00   95.82
Average:       0    2.69    0.00    0.92    0.00    0.00    1.13    0.00    0.00    0.00   95.25
Average:       1    2.35    0.00    0.64    0.00    0.00    0.29    0.00    0.00    0.00   96.72
Average:       2    2.07    0.00    0.64    0.00    0.00    0.29    0.00    0.00    0.00   97.01
Average:       3    2.14    0.00    0.93    0.00    0.00    0.36    0.00    0.00    0.00   96.57
Average:       4    1.08    0.00    0.72    0.00    0.00    0.07    0.00    0.00    0.00   98.13
Average:       5    3.37    0.00    1.00    0.00    0.00    0.14    0.00    0.00    0.00   95.48
Average:       6    1.29    0.00    0.50    0.00    0.00    0.22    0.00    0.00    0.00   97.99
Average:       7    1.58    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   97.49
Average:       8    1.21    0.00    0.93    0.00    0.00    0.57    0.00    0.00    0.00   97.29
Average:       9    2.57    0.00    0.86    0.00    0.00    0.21    0.00    0.00    0.00   96.35
Average:      10    3.51    0.00    1.22    0.00    0.00    0.07    0.00    0.00    0.00   95.20
Average:      11    1.00    0.00    1.29    0.00    0.00    0.00    0.00    0.00    0.00   97.71
Average:      12    0.43    0.00    1.22    0.00    0.00    0.29    0.00    0.00    0.00   98.07
Average:      13    4.02    0.00    0.86   16.79    0.00    0.14    0.00    0.00    0.00   78.19
Average:      14    2.36    0.00    1.58    0.43    0.00    0.14    0.00    0.00    0.00   95.49
Average:      15    3.29    0.00    0.93    0.00    0.00    0.07    0.00    0.00    0.00   95.71
Average:      16    4.43    0.00    0.79    0.00    0.00    0.07    0.00    0.00    0.00   94.71
Average:      17    1.01    0.00    0.72    0.00    0.00    0.07    0.00    0.00    0.00   98.20
Average:      18    2.14    0.00    1.29    0.00    0.00    0.21    0.00    0.00    0.00   96.35
Average:      19    2.79    0.00    0.72    0.07    0.00    0.07    0.00    0.00    0.00   96.35
Average:      20    1.57    0.00    0.79    0.00    0.00    0.07    0.00    0.00    0.00   97.57
Average:      21    2.92    0.00    0.71    0.00    0.00    0.14    0.00    0.00    0.00   96.22
Average:      22    3.23    0.00    0.79    0.00    0.00    0.14    0.00    0.00    0.00   95.84
Average:      23    3.22    0.00    0.79    0.00    0.00    0.21    0.00    0.00    0.00   95.78
