Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   46.99    0.00   19.18    0.10    0.00    1.72    0.00    0.00    0.00   32.01
Average:       0   47.72    0.00   18.62    0.03    0.00    1.48    0.00    0.00    0.00   32.15
Average:       1   47.69    0.00   19.56    0.00    0.00    1.39    0.00    0.00    0.00   31.36
Average:       2   47.82    0.00   18.63    0.00    0.00    1.37    0.00    0.00    0.00   32.18
Average:       3   47.87    0.00   18.94    0.00    0.00    1.24    0.00    0.00    0.00   31.95
Average:       4   46.78    0.00   18.89    0.03    0.00    2.29    0.00    0.00    0.00   32.02
Average:       5   47.00    0.00   19.31    0.03    0.00    1.46    0.00    0.00    0.00   32.20
Average:       6   45.76    0.00   19.60    0.03    0.00    2.35    0.00    0.00    0.00   32.26
Average:       7   48.11    0.00   18.45    0.03    0.00    1.28    0.00    0.00    0.00   32.12
Average:       8   47.52    0.00   19.01    0.03    0.00    1.55    0.00    0.00    0.00   31.90
Average:       9   45.03    0.00   20.23    0.00    0.00    2.49    0.00    0.00    0.00   32.25
Average:      10   47.37    0.00   19.16    0.03    0.00    1.39    0.00    0.00    0.00   32.04
Average:      11   46.84    0.00   19.52    0.00    0.00    1.48    0.00    0.00    0.00   32.16
Average:      12   46.74    0.00   19.07    0.00    0.00    2.17    0.00    0.00    0.00   32.01
Average:      13   47.53    0.00   18.27    1.75    0.00    1.54    0.00    0.00    0.00   30.90
Average:      14   46.92    0.00   19.57    0.15    0.00    1.33    0.00    0.00    0.00   32.03
Average:      15   47.01    0.00   19.14    0.09    0.00    1.43    0.00    0.00    0.00   32.33
Average:      16   47.44    0.00   18.92    0.03    0.00    1.45    0.00    0.00    0.00   32.16
Average:      17   45.80    0.00   19.85    0.03    0.00    2.37    0.00    0.00    0.00   31.95
Average:      18   46.33    0.00   20.11    0.00    0.00    1.13    0.00    0.00    0.00   32.42
Average:      19   46.80    0.00   18.61    0.12    0.00    2.62    0.00    0.00    0.00   31.85
Average:      20   47.68    0.00   18.81    0.00    0.00    1.34    0.00    0.00    0.00   32.17
Average:      21   47.14    0.00   19.36    0.00    0.00    1.57    0.00    0.00    0.00   31.93
Average:      22   45.62    0.00   19.91    0.03    0.00    2.32    0.00    0.00    0.00   32.12
Average:      23   47.28    0.00   18.66    0.00    0.00    2.23    0.00    0.00    0.00   31.83
