Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.34    0.00    0.86    0.35    0.00    0.23    0.00    0.00    0.00   96.23
Average:       0    2.18    0.00    0.90    0.00    0.00    1.52    0.00    0.00    0.00   95.39
Average:       1    1.91    0.00    0.54    0.04    0.00    0.66    0.00    0.00    0.00   96.85
Average:       2    2.83    0.00    0.96    0.04    0.00    0.42    0.00    0.00    0.00   95.75
Average:       3    2.42    0.00    0.79    0.00    0.00    0.21    0.00    0.00    0.00   96.58
Average:       4    1.42    0.00    0.58    0.00    0.00    0.29    0.00    0.00    0.00   97.71
Average:       5    4.05    0.00    0.83    0.00    0.00    0.17    0.00    0.00    0.00   94.95
Average:       6    1.25    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   97.75
Average:       7    2.22    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   96.90
Average:       8    4.51    0.00    0.63    0.00    0.00    0.13    0.00    0.00    0.00   94.74
Average:       9    1.38    0.00    0.92    0.00    0.00    0.17    0.00    0.00    0.00   97.54
Average:      10    3.00    0.00    0.67    0.00    0.00    0.08    0.00    0.00    0.00   96.25
Average:      11    2.71    0.00    0.75    0.00    0.00    0.08    0.00    0.00    0.00   96.46
Average:      12    0.96    0.00    1.09    0.00    0.00    0.13    0.00    0.00    0.00   97.82
Average:      13    3.30    0.00    0.96    6.64    0.00    0.13    0.00    0.00    0.00   88.97
Average:      14    1.80    0.00    1.05    0.25    0.00    0.04    0.00    0.00    0.00   96.86
Average:      15    2.08    0.00    0.96    0.13    0.00    0.17    0.00    0.00    0.00   96.67
Average:      16    2.63    0.00    1.04    1.21    0.00    0.13    0.00    0.00    0.00   94.99
Average:      17    2.89    0.00    0.54    0.00    0.00    0.08    0.00    0.00    0.00   96.49
Average:      18    1.75    0.00    1.46    0.04    0.00    0.13    0.00    0.00    0.00   96.62
Average:      19    1.84    0.00    0.67    0.00    0.00    0.13    0.00    0.00    0.00   97.37
Average:      20    2.01    0.00    0.50    0.00    0.00    0.04    0.00    0.00    0.00   97.45
Average:      21    2.71    0.00    1.34    0.00    0.00    0.08    0.00    0.00    0.00   95.87
Average:      22    3.22    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   95.90
Average:      23    1.09    0.00    1.13    0.04    0.00    0.13    0.00    0.00    0.00   97.62
