Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.24    0.00    0.75    0.02    0.00    0.20    0.00    0.00    0.00   96.79
Average:       0    1.24    0.00    0.74    0.00    0.00    1.16    0.00    0.00    0.00   96.86
Average:       1    2.57    0.00    0.75    0.00    0.00    0.70    0.00    0.00    0.00   95.98
Average:       2    3.55    0.00    0.67    0.00    0.00    0.21    0.00    0.00    0.00   95.58
Average:       3    4.12    0.00    0.58    0.00    0.00    0.21    0.00    0.00    0.00   95.09
Average:       4    1.67    0.00    0.88    0.00    0.00    0.17    0.00    0.00    0.00   97.29
Average:       5    3.87    0.00    0.50    0.00    0.00    0.29    0.00    0.00    0.00   95.34
Average:       6    1.75    0.00    0.62    0.00    0.00    0.25    0.00    0.00    0.00   97.38
Average:       7    2.87    0.00    0.67    0.00    0.00    0.12    0.00    0.00    0.00   96.34
Average:       8    2.04    0.00    0.79    0.00    0.00    0.29    0.00    0.00    0.00   96.88
Average:       9    3.60    0.00    0.75    0.00    0.00    0.17    0.00    0.00    0.00   95.48
Average:      10    2.09    0.00    1.13    0.00    0.00    0.08    0.00    0.00    0.00   96.70
Average:      11    2.72    0.00    0.79    0.00    0.00    0.13    0.00    0.00    0.00   96.36
Average:      12    1.96    0.00    0.88    0.00    0.00    0.08    0.00    0.00    0.00   97.08
Average:      13    2.13    0.00    0.83    0.25    0.00    0.08    0.00    0.00    0.00   96.71
Average:      14    1.59    0.00    0.67    0.08    0.00    0.08    0.00    0.00    0.00   97.58
Average:      15    1.83    0.00    0.50    0.00    0.00    0.08    0.00    0.00    0.00   97.58
Average:      16    2.75    0.00    0.75    0.00    0.00    0.12    0.00    0.00    0.00   96.38
Average:      17    1.38    0.00    0.54    0.00    0.00    0.13    0.00    0.00    0.00   97.95
Average:      18    3.59    0.00    0.83    0.00    0.00    0.04    0.00    0.00    0.00   95.54
Average:      19    1.34    0.00    0.84    0.00    0.00    0.08    0.00    0.00    0.00   97.74
Average:      20    2.54    0.00    0.96    0.00    0.00    0.08    0.00    0.00    0.00   96.41
Average:      21    0.79    0.00    0.54    0.08    0.00    0.04    0.00    0.00    0.00   98.54
Average:      22    0.92    0.00    0.92    0.00    0.00    0.17    0.00    0.00    0.00   97.99
Average:      23    0.71    0.00    0.80    0.00    0.00    0.08    0.00    0.00    0.00   98.41
