Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.30    0.00    0.86    0.78    0.00    0.17    0.00    0.00    0.00   95.88
Average:       0    1.61    0.00    0.95    0.04    0.00    0.95    0.00    0.00    0.00   96.44
Average:       1    1.33    0.00    0.96    0.00    0.00    0.58    0.00    0.00    0.00   97.13
Average:       2    2.59    0.00    0.67    0.04    0.00    0.29    0.00    0.00    0.00   96.41
Average:       3    2.75    0.00    0.67    1.09    0.00    0.17    0.00    0.00    0.00   95.33
Average:       4    1.42    0.00    0.92    0.00    0.00    0.13    0.00    0.00    0.00   97.53
Average:       5    1.29    0.00    0.75    1.04    0.00    0.13    0.00    0.00    0.00   96.79
Average:       6    2.38    0.00    0.63    0.21    0.00    0.08    0.00    0.00    0.00   96.69
Average:       7    1.92    0.00    0.84    0.00    0.00    0.04    0.00    0.00    0.00   97.20
Average:       8    1.34    0.00    0.71    0.88    0.00    0.13    0.00    0.00    0.00   96.95
Average:       9    1.76    0.00    0.84    0.92    0.00    0.13    0.00    0.00    0.00   96.36
Average:      10    1.92    0.00    0.92    0.96    0.00    0.08    0.00    0.00    0.00   96.12
Average:      11    2.17    0.00    0.88    1.04    0.00    0.13    0.00    0.00    0.00   95.78
Average:      12    2.63    0.00    0.75    1.04    0.00    0.17    0.00    0.00    0.00   95.41
Average:      13    2.76    0.00    0.75    8.66    0.00    0.13    0.00    0.00    0.00   87.69
Average:      14    2.17    0.00    1.13    0.21    0.00    0.08    0.00    0.00    0.00   96.41
Average:      15    2.25    0.00    1.00    1.34    0.00    0.04    0.00    0.00    0.00   95.37
Average:      16    1.71    0.00    1.09    0.00    0.00    0.08    0.00    0.00    0.00   97.12
Average:      17    3.22    0.00    0.75    0.13    0.00    0.08    0.00    0.00    0.00   95.82
Average:      18    2.33    0.00    0.79    0.00    0.00    0.08    0.00    0.00    0.00   96.79
Average:      19    2.92    0.00    0.83    0.00    0.00    0.08    0.00    0.00    0.00   96.17
Average:      20    5.34    0.00    0.67    0.00    0.00    0.13    0.00    0.00    0.00   93.87
Average:      21    3.96    0.00    1.37    1.04    0.00    0.00    0.00    0.00    0.00   93.63
Average:      22    1.71    0.00    0.79    0.00    0.00    0.13    0.00    0.00    0.00   97.37
Average:      23    1.88    0.00    1.08    0.00    0.00    0.04    0.00    0.00    0.00   97.00
