Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    7.62    0.00    2.66    0.02    0.00    0.39    0.00    0.00    0.00   89.31
Average:       0    7.31    0.00    2.74    0.00    0.00    0.59    0.00    0.00    0.00   89.36
Average:       1    7.28    0.00    2.68    0.00    0.00    0.47    0.00    0.00    0.00   89.57
Average:       2    8.10    0.00    2.53    0.00    0.00    0.29    0.00    0.00    0.00   89.07
Average:       3    7.63    0.00    2.97    0.00    0.00    0.29    0.00    0.00    0.00   89.10
Average:       4    7.54    0.00    2.71    0.00    0.00    0.56    0.00    0.00    0.00   89.19
Average:       5    7.20    0.00    2.83    0.00    0.00    0.32    0.00    0.00    0.00   89.64
Average:       6    7.56    0.00    2.42    0.00    0.00    0.53    0.00    0.00    0.00   89.49
Average:       7    7.91    0.00    2.57    0.00    0.00    0.30    0.00    0.00    0.00   89.22
Average:       8    7.45    0.00    2.69    0.00    0.00    0.27    0.00    0.00    0.00   89.59
Average:       9    7.43    0.00    2.48    0.00    0.00    0.59    0.00    0.00    0.00   89.51
Average:      10    8.98    0.00    3.04    0.00    0.00    0.24    0.00    0.00    0.00   87.74
Average:      11    8.23    0.00    2.68    0.00    0.00    0.27    0.00    0.00    0.00   88.82
Average:      12    7.80    0.00    2.48    0.00    0.00    0.59    0.00    0.00    0.00   89.13
Average:      13    7.98    0.00    2.66    0.35    0.00    0.21    0.00    0.00    0.00   88.80
Average:      14    7.32    0.00    2.61    0.00    0.00    0.30    0.00    0.00    0.00   89.78
Average:      15    7.59    0.00    2.74    0.09    0.00    0.24    0.00    0.00    0.00   89.34
Average:      16    7.62    0.00    2.57    0.00    0.00    0.32    0.00    0.00    0.00   89.49
Average:      17    7.42    0.00    2.42    0.00    0.00    0.50    0.00    0.00    0.00   89.66
Average:      18    7.17    0.00    2.63    0.00    0.00    0.27    0.00    0.00    0.00   89.94
Average:      19    7.42    0.00    2.83    0.00    0.00    0.59    0.00    0.00    0.00   89.17
Average:      20    7.67    0.00    2.57    0.00    0.00    0.29    0.00    0.00    0.00   89.47
Average:      21    7.94    0.00    2.63    0.00    0.00    0.29    0.00    0.00    0.00   89.14
Average:      22    7.24    0.00    2.66    0.00    0.00    0.68    0.00    0.00    0.00   89.42
Average:      23    7.09    0.00    2.72    0.00    0.00    0.47    0.00    0.00    0.00   89.72
