Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   18.60    0.00    6.08    0.35    0.00    1.51    0.00    0.00    0.00   73.47
Average:       0   19.60    0.00    5.04    0.00    0.00    4.09    0.00    0.00    0.00   71.27
Average:       1   21.04    0.00    5.97    0.26    0.00    3.03    0.00    0.00    0.00   69.70
Average:       2   22.85    0.00    5.30    0.09    0.00    2.39    0.00    0.00    0.00   69.37
Average:       3   15.85    0.00    6.74    0.20    0.00    2.31    0.00    0.00    0.00   74.89
Average:       4   15.18    0.00    4.89    0.00    0.00    2.55    0.00    0.00    0.00   77.38
Average:       5   20.38    0.00    6.60    0.00    0.00    1.41    0.00    0.00    0.00   71.61
Average:       6   18.87    0.00    6.27    0.06    0.00    1.74    0.00    0.00    0.00   73.06
Average:       7   17.96    0.00    5.92    0.00    0.00    1.20    0.00    0.00    0.00   74.93
Average:       8   20.13    0.00    6.91    0.00    0.00    1.24    0.00    0.00    0.00   71.72
Average:       9   14.88    0.00    5.64    0.03    0.00    1.57    0.00    0.00    0.00   77.88
Average:      10   21.34    0.00    6.32    0.03    0.00    1.00    0.00    0.00    0.00   71.31
Average:      11   23.22    0.00    5.99    0.03    0.00    1.03    0.00    0.00    0.00   69.73
Average:      12   12.13    0.00    5.67    0.00    0.00    1.77    0.00    0.00    0.00   80.43
Average:      13   17.41    0.00    6.04    2.80    0.00    1.03    0.00    0.00    0.00   72.72
Average:      14   18.57    0.00    6.19    0.83    0.00    0.68    0.00    0.00    0.00   73.74
Average:      15   16.23    0.00    7.42    0.95    0.00    0.89    0.00    0.00    0.00   74.51
Average:      16   22.57    0.00    7.10    1.06    0.00    0.95    0.00    0.00    0.00   68.32
Average:      17   18.39    0.00    5.16    0.98    0.00    1.45    0.00    0.00    0.00   74.01
Average:      18   16.59    0.00    6.38    0.62    0.00    0.62    0.00    0.00    0.00   75.78
Average:      19   19.33    0.00    5.88    0.00    0.00    1.24    0.00    0.00    0.00   73.55
Average:      20   16.14    0.00    6.96    0.03    0.00    0.62    0.00    0.00    0.00   76.24
Average:      21   25.83    0.00    6.07    0.03    0.00    0.68    0.00    0.00    0.00   67.40
Average:      22   17.66    0.00    5.87    0.39    0.00    1.22    0.00    0.00    0.00   74.87
Average:      23   14.08    0.00    5.70    0.03    0.00    1.33    0.00    0.00    0.00   78.87
