Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   13.83    0.00    2.14    0.28    0.00    0.31    0.00    0.00    0.00   83.44
Average:       0   14.66    0.00    1.96    0.00    0.00    1.06    0.00    0.00    0.00   82.32
Average:       1   14.13    0.00    2.30    0.00    0.00    0.44    0.00    0.00    0.00   83.13
Average:       2   13.91    0.00    2.21    0.00    0.00    0.44    0.00    0.00    0.00   83.44
Average:       3   14.39    0.00    2.25    0.03    0.00    0.24    0.00    0.00    0.00   83.10
Average:       4   13.97    0.00    2.16    0.00    0.00    0.38    0.00    0.00    0.00   83.49
Average:       5   14.71    0.00    2.16    0.00    0.00    0.18    0.00    0.00    0.00   82.96
Average:       6   14.19    0.00    2.19    0.00    0.00    0.30    0.00    0.00    0.00   83.32
Average:       7   13.22    0.00    2.13    0.12    0.00    0.12    0.00    0.00    0.00   84.42
Average:       8   12.85    0.00    1.98    0.00    0.00    0.18    0.00    0.00    0.00   84.99
Average:       9   13.88    0.00    1.95    0.00    0.00    0.30    0.00    0.00    0.00   83.87
Average:      10   13.40    0.00    2.54    0.06    0.00    0.21    0.00    0.00    0.00   83.80
Average:      11   12.73    0.00    2.04    0.15    0.00    0.24    0.00    0.00    0.00   84.85
Average:      12   13.28    0.00    1.86    0.00    0.00    0.41    0.00    0.00    0.00   84.44
Average:      13   14.19    0.00    2.03    5.65    0.00    0.29    0.00    0.00    0.00   77.83
Average:      14   12.44    0.00    2.10    0.15    0.00    0.18    0.00    0.00    0.00   85.14
Average:      15   14.50    0.00    1.95    0.03    0.00    0.24    0.00    0.00    0.00   83.29
Average:      16   13.48    0.00    2.42    0.00    0.00    0.30    0.00    0.00    0.00   83.80
Average:      17   14.89    0.00    2.12    0.00    0.00    0.35    0.00    0.00    0.00   82.63
Average:      18   13.85    0.00    2.39    0.38    0.00    0.12    0.00    0.00    0.00   83.26
Average:      19   14.74    0.00    2.30    0.00    0.00    0.44    0.00    0.00    0.00   82.52
Average:      20   14.85    0.00    1.89    0.03    0.00    0.30    0.00    0.00    0.00   82.93
Average:      21   14.59    0.00    2.30    0.00    0.00    0.12    0.00    0.00    0.00   82.99
Average:      22   12.74    0.00    2.15    0.00    0.00    0.32    0.00    0.00    0.00   84.78
Average:      23   12.30    0.00    2.03    0.00    0.00    0.41    0.00    0.00    0.00   85.26
